Member_number,Date,itemDescription,_basket_id
1658,19-08-2024,chocolate,1322
1300,20-01-2024,margarine,4430
1301,29-05-2025,margarine,1698
2011,03-04-2024,coffee,1963
1175,01-03-2024,citrus fruit,3689
1442,13-11-2024,bottled water,3719
1473,24-04-2025,whole milk,5487
1919,27-02-2024,cat food,3383
1782,23-12-2025,citrus fruit,773
1936,28-03-2025,  FRANKFURTER,3736
2181,07-04-2024,whole milk,184
1034,29-03-2025,frozen vegetables,3156
1065,07-09-2024,rolls/buns,3547
1316,24-04-2024,citrus fruit,2301
1882,11-11-2024,canned beer,2730
2057,31-12-2024,pastry,391
1878,05-11-2024,root vegetables,1179
1549,14-09-2024,cat food,1507
1738,21-04-2024,sausage,1543
2190,27-09-2024,tropical fruit,5342
1901,19-01-2025,pip fruit,2316
2056,22-08-2025,curd,5832
1823,20-07-2024,frozen vegetables,2634
1220,06-10-2025,  WHOLE MILK,5190
1881,23-10-2025,newspapers,5764
1772,09-09-2024,  MARGARINE,868
2134,06-11-2024,onions,849
1049,09-09-2024,brown bread,4283
1260,04-11-2025,margarine,953
1023,09-05-2025,pastry,3856
1723,05-02-2024,canned beer,4458
1845,09-10-2025,napkins,493
2036,24-05-2024,chocolate,1414
1833,04-08-2025,newspapers,4442
1939,19-05-2025,margarine,1101
1304,14-01-2024,pastry,4337
1003,24-02-2024,curd,1497
2071,05-11-2024,whole milk,4724
2002,19-10-2025,newspapers,4475
1805,19-03-2025,canned beer,2756
1696,05-02-2024,tropical fruit,2799
1345,08-11-2025,margarine,1355
1221,15-09-2024,newspapers,2808
1565,25-03-2024,chocolate,2952
1430,10-01-2025,canned beer,5666
1929,21-05-2025,newspapers,5720
1725,16-12-2024,newspapers,3173
1191,19-02-2024,root vegetables,3659
1515,06-06-2024,newspapers,2353
1362,23-05-2024,chocolate,2781
2088,26-08-2024,canned beer,3005
1188,25-07-2025,salty snack,3207
1101,06-02-2024,onions,5577
1060,12-01-2025,root vegetables,600
1472,07-02-2024,sugar,3161
1841,19-02-2025,shopping bags,5306
1774,18-01-2025,domestic eggs,5623
2074,19-04-2024,root vegetables,1608
1549,22-11-2024,tortillas,5898
1741,12-04-2024,domestic eggs,4041
1522,25-02-2025,citrus fruit,4426
1562,09-08-2025,bottled water,401
1995,09-05-2025,paper towels,2868
1237,25-07-2025,sugar,4154
1389,29-08-2024,bottled water,4620
1289,20-12-2024,bananas,5143
1131,26-01-2025,margarine,1454
2032,14-04-2025,whole milk,4871
1787,30-08-2025,chocolate,4349
1499,16-04-2024,dish detergent,24
1267,26-08-2024,white bread,5022
1732,18-06-2024,hamburger meat,3039
2126,30-01-2025,salsa,1259
1137,26-07-2025,sausage,5038
1846,04-12-2025,whole milk,3116
1478,15-11-2025,curd,3011
1470,25-02-2025,soda,3684
1748,05-05-2024,chocolate,169
2055,25-11-2025,yogurt,4137
1564,30-03-2025,whole milk,1000
2024,13-02-2024,citrus fruit,4218
2111,16-09-2025,newspapers,5538
1192,02-05-2024,bottled water,2019
1635,14-09-2024,citrus fruit,4291
1724,09-06-2024,newspapers,4037
2018,18-02-2024,root vegetables,1939
1420,08-07-2025,napkins,862
1194,11-02-2025,margarine,4573
1347,09-02-2024,frankfurter,2519
1912,25-08-2024,whole milk,182
1864,18-11-2024,white bread,2486
2110,19-05-2025,bottled water,1143
1260,02-10-2025,,2857
1812,08-09-2024,frankfurter,4798
1119,10-02-2025,cat food,5214
1096,24-05-2024,diapers,5774
1555,24-09-2025,dish detergent,4207
1538,12-12-2025,cheese,4876
1805,26-02-2024,canned beer,1940
2107,03-10-2024,yogurt,5733
1833,17-06-2024,sugar,1564
2174,08-06-2024,granola,5612
1593,14-02-2025,citrus fruit,1377
1549,14-09-2024,ice cream,1507
1460,01-05-2025,onions,927
2106,30-01-2024,cereal,5107
1476,03-04-2025,soda,4399
2145,05-06-2024,margarine,5777
2073,21-03-2024,whole milk,4
1198,10-11-2025,frankfurter,5172
1564,12-02-2025,newspapers,179
1439,26-04-2025,crackers,3008
1189,29-03-2024,red wine,4756
1689,23-03-2024,  ONIONS,2149
2008,18-09-2024,curd,2809
1901,12-10-2025,pasta,4726
1988,26-04-2025,canned beer,2881
1523,26-06-2025,canned beer,3452
2138,25-11-2025,cat food,4904
1019,21-12-2025,rolls/buns,376
1558,04-10-2024,canned beer,2038
1958,28-02-2025,shopping bags,767
1861,05-11-2025,white bread,3071
1609,19-02-2024,frankfurter,3286
1721,24-03-2025,pastry,775
1687,11-12-2025,frozen vegetables,838
1064,24-11-2024,margarine,3232
1328,25-11-2025,butter,2729
1040,03-05-2025,bottled water,5952
2162,19-06-2025,  FRANKFURTER,2900
1334,14-03-2025,frozen vegetables,3662
1721,24-03-2025,citrus fruit,775
2177,18-04-2025,canned beer,1603
1281,12-04-2024,canned beer,1614
1181,09-05-2025,pip fruit,3458
1442,26-12-2024,domestic eggs,692
1136,08-12-2025,frozen vegetables,4944
1243,04-06-2025,citrus fruit,4420
1512,24-06-2025,frozen vegetables,1070
1775,23-09-2024,sausage,1829
2101,30-08-2025,crackers,1750
1014,20-09-2025,chocolate,5171
1089,11-05-2024,cereal,4222
2007,31-12-2024,sausage,2907
1751,28-10-2025,napkins,4920
1064,07-11-2025,white bread,310
1306,18-04-2024,rolls/buns,3917
1997,17-02-2025,white bread,2226
1561,03-12-2025,cereal,2507
2024,13-02-2024,canned beer,4218
1354,05-06-2024,canned beer,1814
1360,21-11-2024,  NEWSPAPERS,1030
1222,18-02-2024,margarine,3326
1621,26-01-2025,rolls/buns,1116
1512,25-08-2025,frozen vegetables,2384
1848,15-12-2024,rolls/buns,4931
1289,20-12-2024,dish detergent,5143
1870,18-12-2025,newspapers,4352
1619,02-02-2024,citrus fruit,5200
1532,14-01-2024,curd,4900
2095,24-02-2024,butter,5345
1243,28-03-2025,bottled water,5478
1096,29-05-2024,root vegetables,2284
2149,28-02-2025,root vegetables,4436
1633,14-07-2024,rolls/buns,220
1822,03-08-2025,pastry,4644
1487,07-11-2024,ground beef,2571
2065,21-10-2024,pip fruit,2442
1154,01-03-2024,rolls/buns,3508
1414,10-10-2025,,2347
1394,24-08-2025,tropical fruit,4429
1302,16-09-2024,beef,4011
1934,14-04-2024,root vegetables,5364
1795,29-04-2024,whole milk,3374
1128,06-10-2024,chips,4901
2017,01-09-2025,whole milk,4004
1818,25-09-2024,margarine,5809
1902,03-12-2024,soda,2199
1430,30-08-2025,newspapers,4404
1777,14-06-2025,whole milk,5978
1433,08-05-2025,chocolate,2200
1043,17-03-2024,bottled water,415
1409,07-08-2025,bottled water,1147
1860,01-04-2025,frankfurter,2185
1222,18-02-2024,domestic eggs,3326
2157,14-01-2025,whole milk,813
1237,15-06-2024,frozen vegetables,2512
1264,23-12-2025,citrus fruit,2893
1296,02-08-2024,whole milk,2696
1381,04-06-2025,chocolate,702
1693,10-03-2024,root vegetables,2508
2027,25-02-2024,canned beer,3686
1247,08-12-2024,margarine,4243
1899,02-01-2024,tomato sauce,5012
1050,20-07-2024,butter,4160
1845,10-02-2025,margarine,5150
1925,31-01-2025,  SODA,2444
2016,05-02-2025,citrus fruit,2612
1382,21-03-2025,tortillas,2629
2122,25-03-2024,ketchup,3129
1901,23-09-2025,curd,2960
1878,05-11-2024,salsa,1179
1268,22-04-2024,sausage,1994
1295,24-01-2024,sugar,207
1272,17-04-2025,bottled water,5696
1827,19-08-2025,canned beer,2417
1654,05-01-2025,white bread,4598
1004,16-04-2025,frozen vegetables,3512
1933,16-03-2025,diapers,2063
1079,15-06-2024,salsa,3142
1703,08-06-2025,parmesan,1818
2117,22-11-2024,yogurt,3447
1589,05-06-2025,root vegetables,5129
1950,28-04-2024,tortillas,206
1704,19-04-2025,canned beer,5575
2022,13-12-2024,whole milk,1775
1195,29-11-2025,frankfurter,709
2015,10-08-2024,shopping bags,4467
1123,24-06-2025,sausage,4390
1006,16-03-2025,domestic eggs,2194
1108,24-11-2024,sausage,2851
1189,21-04-2025,chocolate,942
1215,30-07-2025,pip fruit,5995
1255,22-07-2025,newspapers,2369
1880,03-12-2025,onions,677
1952,08-12-2024,frozen vegetables,5095
1155,02-08-2024,canned beer,3084
1774,10-12-2025,root vegetables,4165
2038,13-04-2024,onions,2714
1692,21-05-2025,rolls/buns,2163
1787,14-08-2024,salty snack,3982
2151,15-07-2024,newspapers,1924
1505,16-06-2024,margarine,1256
1630,28-12-2025,frankfurter,1261
1332,15-01-2024,hamburger meat,3652
1342,08-10-2025,margarine,4992
1636,14-04-2024,white bread,1655
1309,15-12-2024,brown bread,556
2105,14-07-2025,cheese,1120
1297,24-12-2025,sausage,2438
1755,29-04-2025,soda,2751
1939,19-05-2025,citrus fruit,1101
1687,21-04-2024,newspapers,4060
1945,30-03-2025,whole milk,4599
2020,21-02-2024,frankfurter,4838
1580,28-06-2024,margarine,279
2016,26-08-2024,citrus fruit,4415
2020,09-12-2024,margarine,3263
1026,07-04-2025,rolls/buns,654
1387,09-01-2024,pastry,1263
1541,27-05-2025,butter,1274
1593,14-02-2025,,1377
2032,21-12-2024,bananas,1908
1549,22-11-2024,domestic eggs,5898
2120,11-02-2024,crackers,3041
1584,27-09-2025,canned beer,5429
1320,14-12-2024,beef,60
1165,10-09-2024,coffee,7
1353,15-02-2025,root vegetables,5370
1873,14-06-2024,white bread,132
1782,23-12-2025,whole milk,773
1806,06-09-2024,salsa,4241
1733,19-07-2025,canned beer,3601
1754,03-04-2024,canned beer,4391
1463,05-08-2024,crackers,4863
1954,05-01-2024,citrus fruit,969
2184,21-09-2025,frankfurter,2955
1106,26-03-2025,white bread,4979
2134,23-08-2025,root vegetables,5586
1646,16-03-2024,cereal,3019
1260,15-04-2024,ketchup,5957
1826,25-01-2025,butter,754
2013,16-04-2024,white bread,313
1805,15-04-2025,paper towels,3221
1416,17-03-2024,white bread,917
1624,27-07-2025,canned beer,3050
1164,30-10-2024,  BANANAS,3287
1331,03-01-2024,canned beer,5929
2041,30-09-2024,canned beer,5507
1062,23-01-2025,whole milk,5641
1068,05-08-2024,yogurt,2290
1538,09-05-2025,root vegetables,5232
1077,15-02-2024,canned beer,5694
1170,07-04-2024,whole milk,2908
1173,03-11-2024,margarine,1359
1180,20-11-2024,granola,4068
2172,27-05-2025,curd,1473
1699,14-08-2024,curd,336
2147,13-02-2025,newspapers,107
1610,07-01-2024,newspapers,1678
1816,16-10-2024,canned beer,885
1893,04-09-2024,whole milk,5626
1989,11-05-2025,citrus fruit,1447
1251,17-11-2024,paper towels,779
2017,01-09-2025,canned beer,4004
2149,28-02-2025,frankfurter,4436
1399,07-10-2025,white bread,4497
2087,21-07-2025,paper towels,4362
1896,25-01-2024,salsa,33
1178,06-03-2025,tropical fruit,2318
2078,08-02-2025,salsa,1065
1250,16-03-2025,rolls/buns,3485
1233,19-09-2024,rolls/buns,5157
1036,18-07-2024,yogurt,4680
2111,16-09-2025,hamburger meat,5538
1537,02-10-2025,soda,5294
1320,21-05-2024,pasta,3939
1299,20-04-2024,domestic eggs,3535
1006,11-01-2025,napkins,1891
1741,12-04-2024,root vegetables,1316
1046,01-06-2024,frozen vegetables,4105
1290,18-05-2025,paper towels,1361
1250,03-07-2024,root vegetables,4484
2020,21-02-2024,onions,4838
1840,28-08-2025,curd,4358
1774,25-11-2025,,2377
1630,08-09-2024,soda,1024
1605,30-09-2025,frozen vegetables,5617
1513,28-03-2025,canned beer,3948
1535,18-10-2025,newspapers,399
1618,14-09-2024,sausage,1506
1216,13-02-2024,margarine,359
1577,21-03-2024,canned beer,2431
1573,18-02-2025,frankfurter,4205
1646,07-03-2024,root vegetables,5034
1475,24-10-2025,whole milk,2591
1274,06-11-2025,sausage,3141
1138,28-12-2024,frankfurter,5861
1522,25-02-2025,salsa,4426
1395,12-06-2024,tropical fruit,2435
1627,23-12-2025,beef,3000
1184,26-03-2025,whole milk,5418
1050,21-05-2024,jam,4330
1751,20-02-2024,white bread,5930
1159,22-07-2025,rolls/buns,836
1306,07-10-2025,canned beer,676
1337,02-08-2025,paper towels,3341
1899,23-02-2024,domestic eggs,606
1395,12-06-2024,diapers,2435
1340,22-01-2025,frankfurter,4274
1077,04-09-2024,frankfurter,4834
1443,08-04-2025,butter,1278
2146,10-11-2025,root vegetables,2082
1752,07-11-2024,sausage,3418
2138,25-11-2025,canned beer,4904
1094,06-02-2024,shopping bags,2652
1678,23-03-2025,white bread,5858
1003,13-04-2025,canned beer,5475
1800,01-06-2025,domestic eggs,3009
2082,02-06-2024,white bread,1052
1193,13-05-2025,soda,2011
2018,18-02-2024,margarine,1939
2044,05-05-2024,hamburger meat,1292
1377,06-02-2025,salty snack,2294
2098,19-11-2025,root vegetables,944
1165,10-09-2024,white bread,7
1730,25-10-2025,citrus fruit,1309
1125,11-12-2024,margarine,1425
1782,23-12-2025,curd,773
1664,09-09-2024,frozen vegetables,3438
1336,09-07-2024,citrus fruit,2461
2079,21-10-2024,napkins,4139
1003,24-02-2024,whole milk,1497
1299,07-02-2024,jam,2098
1023,19-11-2025,citrus fruit,198
1875,29-12-2024,frozen vegetables,1569
1520,05-11-2025,citrus fruit,4275
1081,06-05-2024,salty snack,5457
1036,21-11-2024,newspapers,4351
1575,06-10-2025,shopping bags,3175
1636,24-01-2024,pastry,5685
1840,27-04-2025,domestic eggs,4709
1739,09-06-2025,domestic eggs,2977
1940,29-10-2024,  WHOLE MILK,4547
1188,18-11-2024,rolls/buns,2836
1562,03-10-2025,bottled water,4178
1827,19-08-2025,red wine,2417
1312,24-05-2025,margarine,1977
1143,27-11-2024,salsa,1385
1416,11-06-2024,citrus fruit,2083
1507,20-04-2025,bottled water,2563
1165,31-05-2024,margarine,3316
1763,11-09-2024,diapers,4897
2001,03-05-2024,  COFFEE,5015
1282,10-02-2025,white bread,3677
1735,07-01-2025,cereal,1105
1122,18-01-2024,citrus fruit,4879
1814,07-04-2025,bottled water,1876
1682,21-02-2024,root vegetables,5239
1765,11-09-2024,  SAUSAGE,208
1858,18-07-2024,margarine,3676
1367,03-05-2024,newspapers,2734
1786,04-01-2025,salsa,3003
1708,26-02-2024,cat food,3746
1199,01-09-2025,white bread,4387
2191,19-08-2024,soda,5798
1526,24-02-2024,domestic eggs,2145
1017,27-05-2024,beef,5160
1477,24-05-2024,root vegetables,5349
1016,11-03-2025,canned beer,464
1491,11-02-2025,root vegetables,3987
1106,30-05-2024,chocolate,2106
1241,27-07-2024,canned beer,3585
1329,28-09-2024,cereal,4734
1916,18-08-2024,white bread,4321
1718,07-07-2024,root vegetables,192
1277,30-04-2025,ground beef,517
1169,26-07-2025,whole milk,4147
1199,30-09-2025,soda,4024
1915,09-10-2024,citrus fruit,924
1669,06-01-2024,frozen vegetables,2052
1240,05-09-2024,soda,3596
1194,13-12-2024,whole milk,5280
1323,27-11-2024,tropical fruit,1765
1216,02-07-2024,canned beer,2642
2184,29-06-2024,butter,5697
2182,10-03-2024,brown bread,5371
1375,23-02-2024,canned beer,3758
2060,04-05-2024,salty snack,3410
1344,25-11-2025,chocolate,1784
1052,27-03-2024,jam,3749
1598,13-09-2024,canned beer,968
1461,28-10-2025,canned beer,1986
1239,24-10-2025,tomato sauce,136
1678,23-03-2025,sausage,5858
1141,07-12-2024,brown bread,3460
1886,25-09-2025,parmesan,4489
1181,22-09-2024,bottled water,3668
1531,04-06-2025,canned beer,2904
1260,28-08-2024,citrus fruit,1491
1431,10-03-2025,parmesan,4832
1527,01-07-2025,ground beef,795
1764,04-03-2025,canned beer,2973
2078,26-05-2024,granola,2450
1996,22-08-2025,curd,2990
1475,24-10-2025,jam,2591
1728,15-12-2025,bottled water,1387
1291,05-07-2024,chocolate,4251
2149,10-03-2024,white bread,1148
1080,19-01-2024,margarine,3992
1128,25-08-2025,hamburger meat,1595
1622,29-02-2024,hamburger meat,166
1632,21-11-2024,chocolate,3759
1019,19-01-2024,root vegetables,1952
1063,06-02-2025,pastry,3461
1033,06-05-2025,whole milk,4880
1006,09-07-2024,canned beer,4141
1953,13-04-2024,margarine,4393
1814,13-07-2024,rolls/buns,563
2104,05-01-2025,margarine,409
1361,18-08-2024,frankfurter,2039
1949,26-01-2024,root vegetables,2445
1993,13-08-2025,newspapers,5991
2051,22-06-2025,whole milk,4903
2171,22-10-2025,frankfurter,3408
1029,26-12-2025,canned beer,4829
1526,01-07-2025,margarine,1499
1809,24-08-2025,frozen vegetables,4335
1734,10-08-2025,frozen vegetables,3097
1713,02-05-2025,butter,3582
2138,25-11-2025,jam,4904
2147,03-05-2024,domestic eggs,3775
1794,20-06-2025,canned beer,5782
2089,13-05-2024,ketchup,1383
1117,16-11-2024,domestic eggs,4402
1823,25-07-2025,diapers,653
1116,04-03-2024,salsa,5657
2123,30-03-2024,dish detergent,291
1589,25-01-2025,pastry,1136
1882,08-08-2025,newspapers,5807
1836,04-12-2024,coffee,3729
1955,05-12-2024,pastry,3977
2139,21-08-2024,canned beer,3862
1683,06-09-2025,root vegetables,4259
1568,26-09-2025,whole milk,4605
1272,07-07-2025,whole milk,3206
1448,20-10-2025,frozen vegetables,1001
1629,14-06-2024,bottled water,4354
1931,19-03-2025,root vegetables,5455
1566,11-05-2025,white bread,3528
1294,17-12-2025,root vegetables,735
1932,30-12-2025,root vegetables,697
2000,10-12-2024,citrus fruit,4366
1081,23-08-2024,beef,4745
1522,01-09-2025,white bread,2488
1459,15-03-2024,domestic eggs,1692
1688,17-10-2024,frankfurter,157
1636,14-04-2024,bottled water,1655
1903,13-07-2024,rolls/buns,715
2137,14-03-2024,frozen vegetables,3362
1079,15-06-2024,onions,3142
1140,11-03-2024,paper towels,3762
1501,15-09-2024,cat food,2923
1684,01-10-2024,frozen vegetables,5625
1816,15-09-2024,citrus fruit,2823
1322,27-11-2024,shopping bags,1241
1319,22-06-2024,salty snack,3831
2120,11-02-2024,canned beer,3041
1663,14-04-2024,tomato sauce,383
1525,21-01-2024,frozen vegetables,3842
1781,15-11-2025,domestic eggs,462
1470,20-12-2025,parmesan,2480
1646,16-03-2024,white bread,3019
1583,29-02-2024,frozen vegetables,4657
1715,29-11-2024,frankfurter,4172
1077,27-10-2024,cereal,2517
1239,24-10-2025,frankfurter,136
1080,07-09-2025,tropical fruit,3114
1003,24-02-2024,onions,1497
1466,13-02-2025,whole milk,17
1491,11-02-2025,canned beer,3987
1304,14-01-2024,citrus fruit,4337
2124,21-05-2024,canned beer,3210
1545,28-05-2025,curd,588
1029,17-06-2024,  FRANKFURTER,2044
1427,04-07-2024,creamer,1585
1711,22-04-2024,root vegetables,5522
1883,12-01-2025,tomato sauce,5906
1389,13-02-2025,frankfurter,4305
1361,01-09-2025,canned beer,762
2155,25-03-2024,chocolate,2023
1530,22-01-2024,margarine,3710
1071,19-09-2025,newspapers,2112
2094,08-04-2025,citrus fruit,5060
1607,31-05-2024,canned beer,748
1565,31-08-2025,bottled water,4715
1488,28-02-2024,,122
2179,22-03-2025,curd,3504
1795,14-03-2024,paper towels,4050
1793,12-11-2024,shopping bags,2650
1047,22-04-2024,canned beer,4995
2003,11-10-2025,root vegetables,320
1472,19-01-2024,coffee,4150
1689,23-03-2024,frankfurter,2149
1979,09-12-2025,parmesan,1910
2124,02-02-2024,margarine,425
1517,04-02-2025,citrus fruit,1839
2184,21-09-2025,dish detergent,2955
1573,26-11-2024,sausage,4003
1064,19-03-2024,root vegetables,3990
2073,15-04-2025,margarine,655
1828,06-01-2025,root vegetables,2520
2199,30-07-2024,chocolate,205
1321,05-03-2025,newspapers,1460
2068,03-03-2025,ground beef,5011
1685,25-07-2025,canned beer,2358
1708,26-02-2024,curd,3746
1427,13-05-2025,cereal,786
1969,20-07-2024,jam,1320
1453,04-10-2025,onions,3094
1094,04-04-2025,chocolate,3516
1537,21-02-2024,root vegetables,3707
2060,31-05-2024,white bread,1528
1031,08-11-2024,salty snack,4852
1726,10-10-2025,sugar,1073
1396,30-03-2024,  CHOCOLATE,357
1278,27-09-2025,tortillas,2032
1190,13-12-2024,margarine,5885
2147,05-11-2025,white bread,681
1690,22-03-2025,sausage,1981
2090,29-10-2024,citrus fruit,3113
2016,20-11-2025,canned beer,1806
1828,24-04-2025,,2391
1939,27-06-2024,chocolate,701
1319,05-08-2025,onions,1736
1639,27-09-2025,citrus fruit,1553
1412,17-12-2025,  SALTY SNACK,4023
1271,26-03-2024,newspapers,4831
1342,30-08-2025,canned beer,3724
1897,24-08-2024,margarine,2814
2017,14-02-2024,newspapers,4746
1140,10-07-2024,margarine,799
1027,18-09-2025,whole milk,3174
1038,15-10-2024,beef,1563
1957,05-02-2024,frozen vegetables,5944
1053,20-10-2024,frozen vegetables,4538
1096,29-05-2024,canned beer,2284
1612,16-04-2025,sausage,4856
1534,20-07-2025,soda,3073
1487,16-10-2024,canned beer,5604
1473,24-04-2025,shopping bags,5487
1765,11-09-2024,sausage,208
1646,16-03-2024,whole milk,3019
2080,08-01-2025,brown bread,49
1269,13-12-2024,root vegetables,2221
1067,21-09-2025,root vegetables,3159
1310,21-11-2025,citrus fruit,4190
1328,25-11-2025,citrus fruit,2729
1221,22-02-2024,frozen vegetables,2665
1119,11-09-2024,brown bread,901
1638,10-02-2025,root vegetables,1766
2083,25-01-2025,frankfurter,5318
1346,02-09-2024,onions,1633
1166,30-12-2024,whole milk,2447
1665,02-12-2025,domestic eggs,3384
1797,03-11-2024,bottled water,3070
1923,06-11-2024,canned beer,2648
1392,25-12-2025,chips,1629
1342,30-08-2025,diapers,3724
1896,07-02-2025,granola,3307
2021,16-02-2024,ground beef,5436
1558,12-04-2024,frankfurter,273
1532,08-02-2025,paper towels,1485
1937,08-03-2025,citrus fruit,2057
2036,24-05-2024,creamer,1414
1385,24-10-2024,root vegetables,1306
1619,24-01-2025,margarine,2407
1031,15-09-2024,sugar,4231
1558,08-06-2025,frozen vegetables,5557
1447,11-02-2024,beef,4815
1779,15-03-2025,cheese,1151
2087,01-11-2024,pip fruit,5600
1334,18-06-2025,white bread,2970
1356,31-05-2025,pip fruit,5070
1192,22-09-2025,frankfurter,3784
1822,01-03-2024,shopping bags,5746
2084,17-11-2024,paper towels,430
1071,06-10-2025,tomato sauce,380
1070,11-09-2024,citrus fruit,129
1666,19-06-2024,chocolate,1677
1933,29-04-2025,paper towels,5162
2164,26-02-2024,granola,3683
1214,09-05-2024,tropical fruit,4446
1926,15-09-2025,domestic eggs,4525
1820,03-10-2024,pastry,1078
1951,31-01-2025,dish detergent,1652
1614,15-09-2024,paper towels,2525
2141,22-07-2025,sausage,3254
1388,07-09-2025,margarine,4542
1180,12-04-2024,salsa,581
1789,19-03-2025,newspapers,717
2153,17-08-2024,domestic eggs,56
2015,15-11-2024,salsa,3699
1639,01-04-2025,ketchup,5884
1324,23-01-2025,soda,4851
1831,25-10-2024,rolls/buns,923
1769,22-11-2025,curd,1666
1791,28-07-2024,pastry,2556
1370,01-06-2025,beef,1087
1436,08-07-2025,canned beer,1582
2160,28-07-2025,ground beef,294
1943,18-01-2025,whole milk,5078
1063,14-10-2025,canned beer,4413
1811,01-01-2024,onions,5090
1447,10-11-2024,red wine,4982
1480,09-01-2024,brown bread,1283
1537,25-05-2024,cereal,4727
1924,22-02-2025,beef,3576
1612,18-01-2025,bottled water,1550
2110,28-10-2024,cereal,5908
1404,01-12-2024,yogurt,2702
1837,20-12-2024,newspapers,1922
1329,08-09-2024,white bread,4016
2092,10-06-2024,napkins,1667
2117,10-04-2024,  FROZEN VEGETABLES,4781
2145,13-05-2025,yogurt,362
1390,28-09-2025,crackers,4056
2069,10-06-2024,ketchup,5113
1892,17-04-2025,frankfurter,496
1339,07-01-2025,bottled water,957
1384,03-02-2024,root vegetables,994
1833,09-06-2025,domestic eggs,2607
2172,28-12-2025,white bread,253
1308,20-05-2024,pastry,4581
1659,17-02-2025,canned beer,4641
1179,02-09-2024,canned beer,2845
1691,17-01-2025,soda,65
1279,18-01-2024,rolls/buns,3645
1505,12-04-2024,frozen vegetables,4549
1241,27-07-2024,newspapers,3585
1311,24-08-2024,newspapers,3636
1296,20-08-2025,pip fruit,5988
2076,20-03-2024,pasta,4577
2148,14-06-2025,newspapers,3126
1440,02-08-2025,beef,5054
1658,07-05-2025,canned beer,1530
2007,29-07-2024,canned beer,3929
2115,22-01-2025,hamburger meat,1212
1428,21-07-2024,bottled water,930
1123,04-09-2024,paper towels,2183
2117,22-11-2024,hamburger meat,3447
2179,27-05-2025,newspapers,1025
1425,08-03-2024,frozen vegetables,328
1755,04-01-2025,canned beer,5292
1858,07-03-2025,margarine,2767
1553,09-05-2025,frankfurter,3997
1122,21-11-2024,canned beer,2355
1023,20-03-2024,canned beer,2302
1429,12-11-2025,paper towels,3836
1723,05-02-2024,white bread,4458
1859,22-05-2024,onions,1745
2140,17-08-2024,parmesan,3168
1471,17-12-2024,newspapers,3238
1690,22-03-2025,bottled water,1981
1087,16-05-2025,shopping bags,4052
1943,08-06-2025,newspapers,5643
2186,28-01-2024,whole milk,4527
1581,15-10-2025,bananas,4868
1348,03-06-2024,pastry,398
2063,31-10-2025,,5933
1387,09-01-2024,canned beer,1263
1439,07-08-2024,frozen vegetables,1853
1394,09-09-2024,soda,1854
2041,18-05-2024,bottled water,1912
2174,08-06-2024,root vegetables,5612
2081,28-05-2025,canned beer,2067
1633,12-04-2025,shopping bags,47
1131,26-01-2025,root vegetables,1454
2076,20-03-2024,tomato sauce,4577
1299,21-11-2024,salsa,2481
1461,28-10-2025,shopping bags,1986
1648,25-10-2024,whole milk,1122
1089,12-03-2025,parmesan,2780
1143,04-08-2025,pastry,983
1891,09-08-2024,canned beer,3617
1545,28-07-2025,,4550
1155,08-06-2025,frankfurter,4414
1679,01-05-2025,margarine,1694
1859,31-03-2025,,27
1387,09-01-2024,whole milk,1263
1631,20-08-2025,frozen vegetables,1318
1916,18-08-2024,domestic eggs,4321
1005,23-06-2025,pasta,4872
1008,15-05-2024,citrus fruit,753
1460,01-05-2025,yogurt,927
1538,20-04-2024,canned beer,3304
1166,30-05-2024,chips,2338
1776,09-08-2025,creamer,5359
1851,11-12-2024,white bread,4310
1730,25-10-2025,margarine,1309
1152,17-06-2024,white bread,5904
1295,24-01-2024,citrus fruit,207
1497,04-12-2024,whole milk,1592
1824,14-08-2025,creamer,4634
1876,15-11-2024,domestic eggs,2890
1923,06-11-2024,soda,2648
1097,20-10-2025,tomato sauce,970
1180,20-11-2024,newspapers,4068
1930,15-01-2025,newspapers,829
1389,15-05-2024,sausage,1870
1952,11-07-2024,frozen vegetables,4669
1566,22-03-2025,margarine,4376
2012,31-10-2024,margarine,4061
1701,07-12-2025,whole milk,460
1895,10-02-2024,bottled water,5187
1681,04-09-2024,root vegetables,3534
1139,22-03-2025,paper towels,3680
2130,19-03-2025,frankfurter,664
1875,08-07-2025,citrus fruit,4822
1687,18-06-2025,chocolate,864
1856,26-01-2025,margarine,1740
1432,30-08-2025,whole milk,4512
1607,14-07-2024,rolls/buns,4810
1644,14-12-2025,root vegetables,3373
1220,29-08-2025,white bread,4757
1564,12-02-2025,cereal,179
1094,06-02-2024,tropical fruit,2652
1548,21-03-2025,rolls/buns,2599
1584,27-09-2025,margarine,5429
1498,25-02-2024,tropical fruit,3382
1057,07-07-2024,tropical fruit,5691
1719,18-11-2024,ice cream,1013
1986,10-08-2025,yogurt,3063
1748,01-08-2025,chocolate,2051
1598,18-08-2024,frankfurter,4284
1151,06-04-2025,canned beer,2165
1458,14-07-2025,canned beer,5317
2149,27-09-2025,curd,4078
2078,08-02-2025,white bread,3108
1708,18-12-2025,white bread,809
1738,17-10-2025,ice cream,4149
1496,11-05-2025,bottled water,2433
1988,04-07-2024,whole milk,309
1163,31-12-2024,newspapers,2609
1232,08-06-2025,pasta,2598
1775,26-11-2025,curd,5665
1413,14-01-2024,domestic eggs,696
1362,23-05-2024,root vegetables,2781
